model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,score_c1,cr_c1,score_c2,cr_c2,score_c3,cr_c3,score_c4,cr_c4,score_c5,cr_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
llama3,hotpotqa,13,f1,13481,61276,9.3435,0.3763,0.2268,0.9999,0.0043,0.0,1.0,0.0,40.2003,0.0,5.4026,0.0,3.412,0.0,7.3242,0.0,7.3242,C0,0.0,C1,C1,C1
llama3,hotpotqa,14,f1,13330,48910,9.6626,0.4153,0.2658,0.9998,0.0082,0.0,1.0,0.0,40.2003,0.0,5.4006,0.0,3.412,0.0,7.3242,0.0,7.3242,C0,0.0,C1,C1,C1
llama3,hotpotqa,15,f1,14429,62696,9.4936,0.3783,0.2263,0.9999,0.0062,0.666667,1.0,0.666667,40.2003,0.666667,5.3989,0.666667,3.412,0.666667,7.3242,0.666667,7.3242,C0,0.666667,C1,C1,C1
llama3,hotpotqa,16,f1,10884,44633,9.1698,0.3814,0.2242,0.9998,0.0071,0.0,1.0,0.0,40.2003,0.0,5.4091,0.0,3.412,0.0,7.3242,0.0,7.3242,C0,0.0,C1,C1,C1
llama3,hotpotqa,17,f1,15393,72591,9.7743,0.3882,0.2658,0.9999,0.0034,0.0,1.0,0.0,40.2003,0.0,5.4069,0.0,3.412,0.0,7.3242,0.0,7.3242,C0,0.0,C1,C1,C1
llama3,hotpotqa,18,f1,16111,69660,9.2338,0.3726,0.1978,0.9999,0.0033,0.0,1.0,0.0,40.2003,0.0,5.4028,0.0,3.412,0.0,7.3242,0.0,7.3242,C0,0.0,C1,C1,C1
llama3,hotpotqa,19,f1,14628,69032,9.4605,0.3848,0.2467,0.9999,0.004,1.0,1.0,1.0,40.2003,1.0,5.3962,1.0,3.412,1.0,7.3242,1.0,7.3242,C0,1.0,C1,C1,C1
llama3,multi_news,0,rouge1,2662,12628,8.1994,0.3998,0.34,0.8747,0.001,0.296,1.0,0.235294,14.2684,0.258065,5.3317,0.289562,3.412,0.229008,2.5996,0.231343,2.5996,C0,0.296,C0,C3,C3
llama3,multi_news,1,rouge1,2973,13328,8.0942,0.3761,0.293,0.69,0.0011,0.362369,1.0,0.122699,15.9354,0.377358,5.3358,0.382671,3.412,0.319218,2.9033,0.322581,2.9033,C3,0.382671,C2,C2,C2
llama3,multi_news,2,rouge1,843,3710,7.5069,0.4417,0.4211,,0.003,0.538206,1.0,0.30605,4.5185,0.428571,5.2018,0.537217,3.412,0.538206,1.0,0.538206,1.0,C0,0.538206,C3,C3,C3
llama3,multi_news,3,rouge1,3932,18731,7.3592,0.3172,0.2368,0.9764,0.0006,0.261818,1.0,0.312977,21.0757,0.258824,5.3709,0.291667,3.412,0.234432,3.8398,0.282686,3.8398,C1,0.312977,C1,C1,C1
llama3,multi_news,4,rouge1,2987,13401,8.4979,0.428,0.3525,0.6453,0.001,0.254545,1.0,0.248322,16.0105,0.292818,5.351,0.239264,3.412,0.28483,2.917,0.247734,2.917,C2,0.292818,C2,C1,C1
