model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,score_c1,cr_c1,score_c2,cr_c2,score_c3,cr_c3,score_c4,cr_c4,score_c5,cr_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
llama31_8b,multi_news,0,rouge1,2662,12628,8.1994,0.3998,0.34,0.8747,0.001,0.280936,1.0,0.237918,14.2687,0.247734,5.3183,0.265734,3.412,0.268116,2.5996,0.260274,2.5996,C0,0.280936,C0,C4,C3
llama31_8b,multi_news,1,rouge1,2973,13328,8.0942,0.3761,0.293,0.69,0.0011,0.389776,1.0,0.255319,15.9357,0.363636,5.3283,0.405063,3.412,0.390879,2.9033,0.347541,2.9033,C3,0.405063,C3,C3,C2
llama31_8b,multi_news,2,rouge1,843,3710,7.5069,0.4417,0.4211,,0.003,0.485623,1.0,0.385246,4.5186,0.465409,5.2077,0.481013,3.412,0.485623,1.0,0.485623,1.0,C0,0.485623,C3,C2,C2
llama31_8b,multi_news,3,rouge1,3932,18731,7.3592,0.3172,0.2368,0.9764,0.0006,0.260536,1.0,0.297872,21.0761,0.243728,5.3474,0.286667,3.412,0.288809,3.8398,0.320312,3.8398,C5,0.320312,C1,C1,C1
llama31_8b,multi_news,4,rouge1,2987,13401,8.4979,0.428,0.3525,0.6453,0.001,0.287263,1.0,0.25,16.0108,0.270557,5.3398,0.292011,3.412,0.258621,2.917,0.244444,2.917,C3,0.292011,C3,C3,C2
llama31_8b,multi_news,5,rouge1,3864,18395,8.5728,0.4005,0.3165,0.8686,0.0009,0.2711,1.0,0.213333,20.7116,0.303342,5.3501,0.308861,3.412,0.262295,3.7734,0.297753,3.7734,C3,0.308861,C2,C2,C2
llama31_8b,multi_news,6,rouge1,1241,5610,7.9327,0.4419,0.4085,0.7381,0.002,0.285714,1.0,0.18241,6.652,0.259494,5.2514,0.291262,3.412,0.316129,1.2119,0.253333,1.2119,C4,0.316129,C3,C3,C2
llama31_8b,multi_news,7,rouge1,3825,18745,8.3485,0.3706,0.2897,0.8836,0.0006,0.388235,1.0,0.269841,20.5026,0.317152,5.3475,0.317073,3.412,0.297578,3.7354,0.288732,3.7354,C0,0.388235,C0,C0,C0
llama31_8b,multi_news,8,rouge1,2218,10063,7.8031,0.3696,0.2836,,0.0013,0.469136,1.0,0.33213,11.8888,0.448485,5.3004,0.461078,3.412,0.418605,2.166,0.381625,2.166,C0,0.469136,C0,C2,C2
llama31_8b,multi_news,9,rouge1,1153,5082,7.908,0.4583,0.4345,0.9603,0.0022,0.398892,1.0,0.259669,6.1803,0.401084,5.2447,0.331522,3.412,0.377465,1.126,0.358543,1.126,C2,0.401084,C2,C2,C2
