model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,kv_bytes_c0,kv_bytes_fp16_c0,score_c1,cr_c1,kv_bytes_c1,kv_bytes_fp16_c1,score_c2,cr_c2,kv_bytes_c2,kv_bytes_fp16_c2,score_c3,cr_c3,kv_bytes_c3,kv_bytes_fp16_c3,score_c4,cr_c4,kv_bytes_c4,kv_bytes_fp16_c4,score_c5,cr_c5,kv_bytes_c5,kv_bytes_fp16_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
llama3,hotpotqa,1,qa_f1,16253,72455,9.3354,0.3635,0.2117,0.9999,0.003,1.0,1.0,983957504.0,983957504.0,0.666667,38.7833,25370624.0,983957504.0,0.666667,4.6332,212370051.5,983957504.0,1.0,3.4032,289124352.0,983957504.0,1.0,7.2813,135135232.0,983957504.0,1.0,7.2813,135135232.0,983957504.0,C0,1.0,C4,C4,C4
llama3,hotpotqa,2,qa_f1,11033,48472,9.5235,0.4002,0.2607,0.9998,0.0059,0.4,1.0,983564288.0,983564288.0,0.4,39.3782,24977408.0,983564288.0,0.4,4.6228,212763911.2,983564288.0,0.4,3.4065,288731136.0,983564288.0,0.4,7.2996,134742016.0,983564288.0,0.4,7.2996,134742016.0,983564288.0,C0,0.4,C1,C1,C1
llama3,hotpotqa,3,qa_f1,16339,77553,9.7124,0.3832,0.2529,0.9999,0.0046,0.0,1.0,983433216.0,983433216.0,0.0,39.5806,24846336.0,983433216.0,0.0,4.617,213003359.5,983433216.0,0.0,3.4076,288600064.0,983433216.0,0.0,7.3057,134610944.0,983433216.0,0.0,7.3057,134610944.0,983433216.0,C0,0.0,C1,C1,C1
llama3,hotpotqa,4,qa_f1,16243,80361,8.8794,0.2523,0.1606,0.9999,0.0402,0.5,1.0,984350720.0,984350720.0,0.5,38.2067,25763840.0,984350720.0,0.666667,4.6189,212973154.0,983695360.0,0.5,3.4,289517568.0,984350720.0,0.666667,7.2935,134873088.0,983695360.0,0.666667,7.2935,134873088.0,983695360.0,C2,0.666667,C1,C1,C1
llama3,hotpotqa,5,qa_f1,5046,19649,8.6993,0.4065,0.2782,0.9995,0.0062,1.0,1.0,663224320.0,663224320.0,1.0,26.4196,25108480.0,663355392.0,1.0,4.5989,144240769.6,663355392.0,1.0,3.4039,194843616.0,663224320.0,1.0,4.9184,134873088.0,663355392.0,1.0,4.9184,134873088.0,663355392.0,C0,1.0,C1,C1,C1
llama3,hotpotqa,6,qa_f1,16368,75436,9.4145,0.3785,0.2102,0.9999,0.004,0.0,1.0,983171072.0,983171072.0,0.0,39.992,24584192.0,983171072.0,0.0,4.6308,212309887.2,983171072.0,0.0,3.4098,288337920.0,983171072.0,0.0,7.318,134348800.0,983171072.0,0.0,7.318,134348800.0,983171072.0,C0,0.0,C1,C1,C1
llama3,hotpotqa,7,qa_f1,13519,58965,9.6631,0.3994,0.2516,0.9998,0.005,0.0,1.0,983957504.0,983957504.0,0.0,38.7833,25370624.0,983957504.0,0.0,4.6202,212968110.4,983957504.0,0.0,3.4032,289124352.0,983957504.0,0.0,7.2813,135135232.0,983957504.0,0.0,7.2813,135135232.0,983957504.0,C0,0.0,C1,C1,C1
llama3,hotpotqa,8,qa_f1,9709,42966,9.6744,0.4149,0.3151,0.9998,0.0056,0.5,1.0,983695360.0,983695360.0,0.5,39.1778,25108480.0,983695360.0,0.5,4.6217,212841772.5,983695360.0,0.5,3.4054,288862208.0,983695360.0,0.5,7.2935,134873088.0,983695360.0,0.5,7.2935,134873088.0,983695360.0,C0,0.5,C1,C1,C1
llama3,hotpotqa,9,qa_f1,11220,47315,8.8959,0.3591,0.1946,0.9998,0.0066,1.0,1.0,983695360.0,983695360.0,0.666667,39.3782,24977408.0,983564288.0,1.0,4.6162,213095645.5,983695360.0,1.0,3.4054,288862208.0,983695360.0,1.0,7.2935,134873088.0,983695360.0,1.0,7.2935,134873088.0,983695360.0,C0,1.0,C4,C4,C4
llama3,hotpotqa,10,qa_f1,15466,67481,9.4427,0.393,0.2435,0.9999,0.0047,1.0,1.0,983433216.0,983433216.0,0.666667,39.7852,24715264.0,983302144.0,1.0,4.6266,212562304.4,983433216.0,1.0,3.4076,288600064.0,983433216.0,1.0,7.3057,134610944.0,983433216.0,1.0,7.3057,134610944.0,983433216.0,C0,1.0,C4,C4,C4
