model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,score_c1,cr_c1,score_c2,cr_c2,score_c3,cr_c3,score_c4,cr_c4,score_c5,cr_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
phi3,multi_news,19,rouge1,1778,6950,7.6331,0.3736,0.2773,0.2747,0.0019,0.462687,1.0,0.131387,5.6758,0.453441,5.8296,0.492308,3.412,0.304569,3.4727,0.366782,3.4727,C3,0.492308,C3,C2,C2
phi3,multifieldqa_en,0,f1,1878,5225,7.1765,0.454,0.2694,0.9983,0.0188,1.0,1.0,1.0,5.995,0.75,5.8387,0.75,3.412,1.0,3.668,0.75,3.668,C0,1.0,C1,C1,C1
phi3,multifieldqa_en,1,f1,3571,14071,8.3318,0.3913,0.2817,0.9994,0.0068,1.0,1.0,1.0,11.1727,1.0,5.8532,1.0,3.412,1.0,6.8359,1.0,6.8359,C0,1.0,C1,C1,C1
phi3,multifieldqa_en,2,f1,11105,45349,9.0407,0.2622,0.1568,0.9998,0.0015,0.125,1.0,0.181818,11.1727,0.117647,5.8188,0.125,3.412,0.125,6.8359,0.125,6.8359,C1,0.181818,C1,C1,C1
phi3,multifieldqa_en,3,f1,8203,31608,8.2448,0.3094,0.1485,0.9997,0.003,0.285714,1.0,0.285714,11.1727,0.285714,5.8548,0.571429,3.412,0.571429,6.8359,0.571429,6.8359,C3,0.571429,C1,C1,C1
phi3,multifieldqa_en,4,f1,9042,33949,9.1804,0.3893,0.2213,0.9997,0.0111,0.285714,1.0,0.4,11.1727,0.285714,5.8385,0.285714,3.412,0.285714,6.8359,0.285714,6.8359,C1,0.4,C1,C1,C1
phi3,multifieldqa_en,5,f1,7601,19528,7.8461,0.3644,0.1349,0.9995,0.0277,0.428571,1.0,0.580645,11.1727,0.516129,5.8162,0.444444,3.412,0.428571,6.8359,0.428571,6.8359,C1,0.580645,C1,C1,C1
phi3,multifieldqa_en,6,f1,6807,20826,8.119,0.3338,0.1478,0.9996,0.0181,0.318182,1.0,0.48,11.1727,0.291667,5.8315,0.318182,3.412,0.413793,6.8359,0.413793,6.8359,C1,0.48,C1,C1,C1
phi3,multifieldqa_en,7,f1,5714,6000,7.0608,0.3659,0.0791,,0.0018,0.0,1.0,0.0,11.1727,0.0,5.7935,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,multifieldqa_en,8,f1,5428,21852,8.6892,0.3954,0.2732,0.9996,0.0053,0.8,1.0,0.8,11.1727,0.8,5.8378,0.8,3.412,0.8,6.8359,0.8,6.8359,C0,0.8,C1,C1,C1
phi3,multifieldqa_en,9,f1,3546,15563,8.2025,0.3579,0.2456,0.9994,0.0068,0.25,1.0,0.25,11.1727,0.25,5.8356,0.25,3.412,0.25,6.8359,0.25,6.8359,C0,0.25,C1,C1,C1
phi3,multifieldqa_en,10,f1,2316,8995,8.2001,0.4297,0.3338,0.999,0.0073,0.222222,1.0,0.235294,7.3932,0.689655,5.8629,0.222222,3.412,0.689655,4.5234,0.689655,4.5234,C2,0.689655,C1,C1,C1
phi3,multifieldqa_en,11,f1,6927,31240,8.6076,0.3354,0.1946,0.9997,0.0046,0.4,1.0,0.434783,11.1727,0.4,5.8378,0.4,3.412,0.4,6.8359,0.4,6.8359,C1,0.434783,C1,C1,C1
phi3,multifieldqa_en,12,f1,6075,21982,8.5643,0.3497,0.2058,0.9996,0.0022,0.21875,1.0,0.465116,11.1727,0.21875,5.8392,0.27907,3.412,0.285714,6.8359,0.35,6.8359,C1,0.465116,C1,C1,C1
phi3,multifieldqa_en,13,f1,17787,56541,7.9245,0.2042,0.0711,0.9998,0.0092,0.0,1.0,0.0,11.1727,0.0,5.8112,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,multifieldqa_en,14,f1,5690,14403,7.6309,0.4404,0.1858,0.9994,0.0044,0.0,1.0,0.0,11.1727,0.0,5.8241,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,multifieldqa_en,15,f1,11019,42138,9.0855,0.3951,0.1968,0.9998,0.0058,0.594595,1.0,0.545455,11.1727,0.594595,5.8387,0.594595,3.412,0.44898,6.8359,0.44898,6.8359,C0,0.594595,C2,C2,C1
phi3,multifieldqa_en,16,f1,9145,33274,9.0349,0.4012,0.221,0.9997,0.005,0.0,1.0,0.0,11.1727,0.516129,5.8439,0.0,3.412,0.0,6.8359,0.0,6.8359,C2,0.516129,C1,C1,C1
phi3,multifieldqa_en,17,f1,3936,13757,7.5537,0.2999,0.1646,0.9993,0.0118,0.0,1.0,0.0,11.1727,0.0,5.8133,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,multifieldqa_en,18,f1,5787,22974,8.3382,0.3478,0.1871,0.9996,0.0047,0.169492,1.0,0.208333,11.1727,0.163934,5.858,0.169492,3.412,0.208333,6.8359,0.175439,6.8359,C1,0.208333,C1,C1,C1
phi3,multifieldqa_en,19,f1,12334,44441,8.4331,0.3246,0.1252,0.9998,0.0038,0.511628,1.0,0.458333,11.1727,0.5,5.8118,0.5,3.412,0.536585,6.8359,0.536585,6.8359,C4,0.536585,C4,C4,C4
phi3,narrativeqa,0,f1,35533,127703,9.1441,0.3891,0.1224,0.9999,0.0184,0.25,1.0,0.173913,11.1727,0.25,5.8571,0.25,3.412,0.153846,6.8359,0.25,6.8359,C0,0.25,C5,C5,C5
phi3,narrativeqa,1,f1,41636,157714,9.3542,0.3887,0.1185,0.9999,0.0198,0.142857,1.0,0.153846,11.1727,0.142857,5.8555,0.142857,3.412,0.125,6.8359,0.153846,6.8359,C1,0.153846,C1,C1,C1
phi3,narrativeqa,2,f1,15179,56169,8.967,0.4016,0.1836,0.9998,0.0192,0.0,1.0,0.0,11.1727,0.0,5.853,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,narrativeqa,3,f1,18620,62691,9.0208,0.424,0.1744,0.9998,0.0201,0.2,1.0,0.206897,11.1727,0.181818,5.8466,0.173913,3.412,0.166667,6.8359,0.137931,6.8359,C1,0.206897,C1,C1,C1
phi3,narrativeqa,4,f1,64933,153856,7.6585,0.3571,0.0715,0.9999,0.0376,0.0,1.0,0.0,11.1727,0.0,5.8115,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,narrativeqa,5,f1,41882,150571,9.0279,0.3741,0.0873,0.9999,0.0201,0.117647,1.0,0.125,11.1727,0.117647,5.8565,0.117647,3.412,0.117647,6.8359,0.117647,6.8359,C1,0.125,C1,C1,C1
phi3,narrativeqa,6,f1,9840,34101,8.8763,0.4275,0.2163,0.9997,0.0259,0.0,1.0,0.0,11.1727,0.0,5.8478,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,narrativeqa,7,f1,13127,47169,9.1604,0.4168,0.2145,0.9998,0.0211,0.0,1.0,0.0,11.1727,0.0,5.858,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,narrativeqa,8,f1,41619,157653,9.3545,0.3887,0.1186,0.9999,0.0198,0.5,1.0,0.5,11.1727,0.5,5.8546,0.5,3.412,0.5,6.8359,0.5,6.8359,C0,0.5,C1,C1,C1
phi3,narrativeqa,9,f1,41626,157679,9.3544,0.3887,0.1186,0.9999,0.0198,0.0,1.0,0.0,11.1727,0.0,5.8543,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,narrativeqa,10,f1,44674,133473,8.4876,0.3687,0.0848,0.9999,0.0283,1.0,1.0,0.0,11.1727,0.666667,5.8432,1.0,3.412,1.0,6.8359,1.0,6.8359,C0,1.0,C4,C4,C4
phi3,narrativeqa,11,f1,35531,127699,9.144,0.3891,0.1224,0.9999,0.0184,0.0,1.0,0.0,11.1727,0.0,5.8541,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
