model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,kv_bytes_c0,kv_bytes_fp16_c0,score_c1,cr_c1,kv_bytes_c1,kv_bytes_fp16_c1,score_c2,cr_c2,kv_bytes_c2,kv_bytes_fp16_c2,score_c3,cr_c3,kv_bytes_c3,kv_bytes_fp16_c3,score_c4,cr_c4,kv_bytes_c4,kv_bytes_fp16_c4,score_c5,cr_c5,kv_bytes_c5,kv_bytes_fp16_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
llama31_8b,narrativeqa,4,qa_f1,46708,153856,8.9604,0.3571,0.1214,0.9999,0.0376,0.0,1.0,983826432.0,983826432.0,0.0,38.9796,25239552.0,983826432.0,0.0,4.6153,213168458.5,983826432.0,0.0,3.4043,288993280.0,983826432.0,0.0,7.2874,135004160.0,983826432.0,0.0,7.2874,135004160.0,983826432.0,C0,0.0,C1,C1,C1
llama31_8b,narrativeqa,5,qa_f1,37057,150571,9.2839,0.3741,0.1193,0.9999,0.0201,0.117647,1.0,984612864.0,984612864.0,0.111111,37.2837,26419200.0,985006080.0,0.210526,4.6242,212983549.1,984875008.0,0.111111,3.3956,290041856.0,984875008.0,0.117647,7.2449,135921664.0,984743936.0,0.117647,7.2449,135921664.0,984743936.0,C2,0.210526,C4,C4,C1
llama31_8b,narrativeqa,6,qa_f1,8050,34101,9.3906,0.4275,0.3063,0.9997,0.0259,0.0,1.0,984088576.0,984088576.0,0.0,39.1778,25108480.0,983695360.0,0.0,4.6113,213409175.8,984088576.0,0.0,3.4021,289255424.0,984088576.0,0.0,7.257,135659520.0,984481792.0,0.0,7.2935,134873088.0,983695360.0,C0,0.0,C1,C1,C1
llama31_8b,narrativeqa,7,qa_f1,11380,47169,9.3137,0.4168,0.2562,0.9998,0.0211,0.666667,1.0,983695360.0,983695360.0,0.666667,39.1778,25108480.0,983695360.0,0.666667,4.6296,212479489.1,983695360.0,0.666667,3.4054,288862208.0,983695360.0,0.666667,7.2935,134873088.0,983695360.0,0.666667,7.2935,134873088.0,983695360.0,C0,0.666667,C1,C1,C1
llama31_8b,narrativeqa,8,qa_f1,36233,157653,9.5497,0.3887,0.1603,0.9999,0.0198,0.5,1.0,983564288.0,983564288.0,0.5,39.3782,24977408.0,983564288.0,0.5,4.617,213029452.4,983564288.0,0.5,3.4065,288731136.0,983564288.0,0.5,7.2996,134742016.0,983564288.0,0.5,7.2996,134742016.0,983564288.0,C0,0.5,C1,C1,C1
llama31_8b,narrativeqa,9,qa_f1,36241,157679,9.5495,0.3887,0.1603,0.9999,0.0198,0.0,1.0,983695360.0,983695360.0,0.0,39.1778,25108480.0,983695360.0,0.0,4.6175,213037416.0,983695360.0,0.0,3.4054,288862208.0,983695360.0,0.0,7.2935,134873088.0,983695360.0,0.0,7.2935,134873088.0,983695360.0,C0,0.0,C1,C1,C1
llama31_8b,narrativeqa,10,qa_f1,38183,133473,8.8186,0.3687,0.1113,0.9999,0.0283,1.0,1.0,983695360.0,983695360.0,0.666667,39.7852,24715264.0,983302144.0,1.0,4.6192,212959533.2,983695360.0,1.0,3.4054,288862208.0,983695360.0,1.0,7.2935,134873088.0,983695360.0,1.0,7.2996,134742016.0,983564288.0,C0,1.0,C5,C5,C5
llama31_8b,narrativeqa,11,qa_f1,31372,127699,9.2854,0.3891,0.1575,0.9999,0.0184,0.0,1.0,983302144.0,983302144.0,0.0,39.992,24584192.0,983171072.0,0.0,4.6227,212713138.4,983302144.0,0.0,3.4087,288468992.0,983302144.0,0.0,7.3119,134479872.0,983302144.0,0.0,7.3119,134479872.0,983302144.0,C0,0.0,C1,C1,C1
llama31_8b,narrativeqa,12,qa_f1,11385,47216,9.3161,0.417,0.2566,0.9998,0.0211,0.0,1.0,983957504.0,983957504.0,0.0,38.7833,25370624.0,983957504.0,0.0,4.6296,212535357.9,983957504.0,0.0,3.4032,289124352.0,983957504.0,0.0,7.2813,135135232.0,983957504.0,0.0,7.2813,135135232.0,983957504.0,C0,0.0,C1,C1,C1
llama31_8b,narrativeqa,13,qa_f1,37057,150560,9.2834,0.3741,0.1193,0.9999,0.0201,0.0,1.0,983957504.0,983957504.0,0.0,38.7833,25370624.0,983957504.0,0.0,4.624,212791961.4,983957504.0,0.0,3.4032,289124352.0,983957504.0,0.0,7.2813,135135232.0,983957504.0,0.0,7.2813,135135232.0,983957504.0,C0,0.0,C1,C1,C1
llama31_8b,narrativeqa,14,qa_f1,31384,127757,9.2851,0.3891,0.1575,0.9999,0.0183,0.0,1.0,984219648.0,984219648.0,0.0,38.2067,25763840.0,984350720.0,0.0,4.6226,213366328.7,986316800.0,0.0,3.4011,289386496.0,984219648.0,0.0,7.215,136577024.0,985399296.0,0.0,7.215,136577024.0,985399296.0,C0,0.0,C1,C1,C1
llama31_8b,narrativeqa,15,qa_f1,37059,150579,9.2837,0.374,0.1193,0.9999,0.0201,0.3,1.0,985137152.0,985137152.0,0.125,38.3969,25632768.0,984219648.0,0.210526,4.6238,213084211.5,985268224.0,0.3,3.3935,290304000.0,985137152.0,0.222222,7.2329,136183808.0,985006080.0,0.222222,7.2329,136183808.0,985006080.0,C0,0.3,C3,C3,C3
llama31_8b,narrativeqa,16,qa_f1,11381,47179,9.3144,0.4169,0.2564,0.9998,0.0211,0.0,1.0,983826432.0,983826432.0,0.0,37.8319,26025984.0,984612864.0,0.0,4.6296,212509661.9,983826432.0,0.0,3.4043,288993280.0,983826432.0,0.0,7.2874,135004160.0,983826432.0,0.0,7.2874,135004160.0,983826432.0,C0,0.0,C1,C1,C1
llama31_8b,narrativeqa,17,qa_f1,8054,34126,9.3898,0.4273,0.3061,0.9997,0.0259,0.666667,1.0,983695360.0,983695360.0,0.5,38.7833,25370624.0,983957504.0,0.666667,4.6112,213325531.4,983695360.0,0.666667,3.4054,288862208.0,983695360.0,0.666667,7.2935,134873088.0,983695360.0,0.666667,7.2935,134873088.0,983695360.0,C0,0.666667,C4,C4,C4
llama31_8b,narrativeqa,18,qa_f1,31418,134613,9.3844,0.3944,0.1648,0.9999,0.019,0.285714,1.0,983957504.0,983957504.0,0.285714,38.7833,25370624.0,983957504.0,0.266667,4.6156,213208785.6,984088576.0,0.285714,3.4032,289124352.0,983957504.0,0.285714,7.2813,135135232.0,983957504.0,0.285714,7.2813,135135232.0,983957504.0,C0,0.285714,C1,C1,C1
llama31_8b,narrativeqa,19,qa_f1,19113,76470,8.9864,0.3937,0.1785,0.9999,0.0167,0.0,1.0,983695360.0,983695360.0,0.0,39.1778,25108480.0,983695360.0,0.0,4.6159,213109234.5,983695360.0,0.0,3.4054,288862208.0,983695360.0,0.0,7.2935,134873088.0,983695360.0,0.0,7.2935,134873088.0,983695360.0,C0,0.0,C1,C1,C1
llama31_8b,passage_count,0,count,15690,66383,8.8233,0.0991,0.0748,0.0041,0.0013,0.0,1.0,983171072.0,983171072.0,0.0,39.992,24584192.0,983171072.0,0.0,4.6059,213458935.6,983171072.0,0.0,3.4098,288337920.0,983171072.0,0.0,7.318,134348800.0,983171072.0,0.0,7.318,134348800.0,983171072.0,C0,0.0,C1,C1,C1
llama31_8b,passage_count,1,count,21256,96790,8.488,0.0536,0.0397,0.0028,0.001,0.0,1.0,983171072.0,983171072.0,0.0,39.992,24584192.0,983171072.0,0.0,4.5995,213754544.0,983171072.0,0.0,3.4098,288337920.0,983171072.0,0.0,7.318,134348800.0,983171072.0,0.0,7.318,134348800.0,983171072.0,C0,0.0,C1,C1,C1
llama31_8b,passage_count,2,count,18536,82313,9.3288,0.2315,0.1262,0.0033,0.0012,0.0,1.0,984875008.0,984875008.0,0.0,39.992,24584192.0,983171072.0,0.0,4.6146,213058711.0,983171072.0,0.0,3.3956,290041856.0,984875008.0,0.0,7.2389,136052736.0,984875008.0,0.0,7.2389,136052736.0,984875008.0,C0,0.0,C1,C1,C1
llama31_8b,passage_count,3,count,17304,81159,9.7033,0.3446,0.2163,0.8755,0.0009,0.0,1.0,984875008.0,984875008.0,0.0,39.992,24584192.0,983171072.0,0.0,4.6084,213344032.4,983171072.0,0.0,3.4098,288337920.0,983171072.0,0.0,7.2389,136052736.0,984875008.0,0.0,7.2389,136052736.0,984875008.0,C0,0.0,C1,C1,C1
llama31_8b,passage_count,4,count,20836,96082,9.6139,0.2716,0.1724,0.0028,0.0011,0.0,1.0,984875008.0,984875008.0,0.0,39.992,24584192.0,983171072.0,0.0,4.6126,213146706.1,983171072.0,0.0,3.4098,288337920.0,983171072.0,0.0,7.2389,136052736.0,984875008.0,0.0,7.2389,136052736.0,984875008.0,C0,0.0,C1,C1,C1
llama31_8b,passage_count,5,count,11196,50472,9.4701,0.3389,0.2514,0.7383,0.0014,0.0,1.0,984875008.0,984875008.0,0.0,37.4646,26288128.0,984875008.0,0.0,4.6257,212544488.0,983171072.0,0.0,3.3956,290041856.0,984875008.0,0.0,7.2389,136052736.0,984875008.0,0.0,7.2389,136052736.0,984875008.0,C0,0.0,C1,C1,C1
